note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
basso_52.0_55.0_7,Basso.,4.0,7.0,52.0,55.0,3.0,58.0,B-3,0.3937322834645669,50.0,7,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_55.0_56.0_7,Basso.,7.0,8.0,55.0,56.0,1.0,53.0,F3,0.3779291338582677,48.0,7,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_56.0_57.0_8,Basso.,0.0,1.0,56.0,57.0,1.0,58.0,B-3,0.7086600000000001,90.0,8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
basso_57.0_58.0_8,Basso.,1.0,2.0,57.0,58.0,1.0,55.0,G3,0.7086600000000001,90.0,8,1.5,0.125,0.0,0.0,1.0,0.0,0.0,0.0
basso_58.0_59.0_8,Basso.,2.0,3.0,58.0,59.0,1.0,56.0,A-3,0.7086600000000001,90.0,8,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_59.0_60.0_8,Basso.,3.0,4.0,59.0,60.0,1.0,58.0,B-3,0.7086600000000001,90.0,8,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_60.0_62.0_8,Basso.,4.0,6.0,60.0,62.0,2.0,60.0,C4,0.7086600000000001,90.0,8,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_62.0_64.0_8,Basso.,6.0,8.0,62.0,64.0,2.0,58.0,B-3,0.7086600000000001,90.0,8,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_64.0_66.0_9,Basso.,0.0,2.0,64.0,66.0,2.0,60.0,C4,0.7086600000000001,90.0,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_66.0_68.0_9,Basso.,2.0,4.0,66.0,68.0,2.0,61.0,D-4,0.7086600000000001,90.0,9,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_68.0_70.0_9,Basso.,4.0,6.0,68.0,70.0,2.0,55.0,G3,0.7086600000000001,90.0,9,3.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
basso_70.0_72.0_9,Basso.,6.0,8.0,70.0,72.0,2.0,53.0,F3,0.7086600000000001,90.0,9,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_72.0_74.0_10,Basso.,0.0,2.0,72.0,74.0,2.0,60.0,C4,0.7086600000000001,90.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_74.0_76.0_10,Basso.,2.0,4.0,74.0,76.0,2.0,48.0,C3,0.7086600000000001,90.0,10,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_76.0_78.0_10,Basso.,4.0,6.0,76.0,78.0,2.0,49.0,D-3,0.7086600000000001,90.0,10,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_78.0_79.0_10,Basso.,6.0,7.0,78.0,79.0,1.0,48.0,C3,0.7086600000000001,90.0,10,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
